web-scraper-order,web-scraper-start-url,articles_link,articles_link-href,details,nombre_chambre,nbre_salle_de_bain,superfécie,adresse,prix,image_lien-src
"1738156846-111","https://www.expat-dakar.com/appartements-meubles?page=69","STUDIO F1 BOUYGUES MEUBLE A SACRE COEUR 3 VDN
                                1 chambre39 m²
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        18. nov. '24, 18:16
                                    
                    26 000 F Cfa
                        
                        779005499","https://www.expat-dakar.com/annonce/studio-f1-bouygues-meuble-a-sacre-coeur-3-vdn-3137518","Chambres
        
                            1
                    
            Salle de Bain
        
                            1
                    
            Mètres carrés
        
                            39 m²","1","1","39 m²","Mermoz
            
                Dakar","26 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c581a64bcf0d57340a9a9f8ec1b3fd1b/-/horizon-files-prod/ed/picture/qdz2m44/1b9b8990e1c2e439d4387e002899868aadcdbb40.jpg"
"1738156848-112","https://www.expat-dakar.com/appartements-meubles?page=69","Appartement Meublé Design Mamelles
                                3 chambre150 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        9. nov. '24, 21:36
                                    
                    35 000 F Cfa
                        
                        781871070","https://www.expat-dakar.com/annonce/appartement-meuble-design-mamelles-5258308","Chambres
        
                            3
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            150 m²","3","2","150 m²","Mamelles
            
                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/26766cdf94135d9f02ce2578262492d1/-/horizon-files-prod/ed/picture/q8v0g6p0/9e43bbe095214b8f483c578c446ced3561d9b5de.jpg"
"1738156851-113","https://www.expat-dakar.com/appartements-meubles?page=69","Appartements meublés de types F 3 et F4 à cité gorgui
                                2 chambre150 m²
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        11. nov. '24, 09:21
                                    
                    50 000 F Cfa
                        
                        774597459
                    
                        763922308","https://www.expat-dakar.com/annonce/appartements-meubles-de-types-f-3-et-f4-a-cite-gorgui-6207386","Chambres
        
                            2
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            150 m²","2","3","150 m²","Cité keur gorgui
            
                Dakar","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1406749a54c893ae852a347894485c11/-/horizon-files-prod/ed/picture/qenv2gq6/021834fba07c560d586c6c7d273ded8dfecf8ff4.jpg"
"1738156853-114","https://www.expat-dakar.com/appartements-meubles?page=69","Appartement  meublé aux Mamelles
                                2 chambre120 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        10. nov. '24, 12:16
                                    
                    30 000 F Cfa
                        
                        786018145","https://www.expat-dakar.com/annonce/appartement-meuble-aux-mamelles-4471785","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            120 m²","2","2","120 m²","Mamelles
            
                Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9659960ed8b975c9268ecfb534c371c1/-/horizon-files-prod/ed/picture/q5e67d7/c5955f8f2b0d9af41ba674a0c51a9a316b36bb70.jpg"
"1738156856-115","https://www.expat-dakar.com/appartements-meubles?page=69","Appartement moderne meublé aux mamelles
                                2 chambre100 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        18. déc. '24, 14:17
                                    
                    37 000 F Cfa
                        
                        778117464","https://www.expat-dakar.com/annonce/appartement-moderne-meuble-aux-mamelles-6207520","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            100 m²","2","2","100 m²","Mamelles
            
                Dakar","37 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce4a48932f0f7c6477739b7a21db4734/-/horizon-files-prod/ed/picture/qenv2g2d/c0d1c37457a65f5b6b361bcaad6c1fedb83e5a81.jpg"
"1738156858-116","https://www.expat-dakar.com/appartements-meubles?page=69","Chambre meublée à Ouest foire
                                1 chambre10 m²
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        11. nov. '24, 10:20
                                    
                    15 000 F Cfa
                        
                        779500087
                    
                        779500087
                    
                        777579612","https://www.expat-dakar.com/annonce/chambre-meublee-a-ouest-foire-3614611","Chambres
        
                            1
                    
            Salle de Bain
        
                            1
                    
            Mètres carrés
        
                            10 m²","1","1","10 m²","Yoff
            
                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/95a334261b4564d9db2cde7d4fafa2cd/-/horizon-files-prod/ed/picture/qxmqxpz/4b851fc952b696b4dc858ff240a128314614338f.jpg"
"1738156863-117","https://www.expat-dakar.com/appartements-meubles?page=68","Chambres meublées climatisées à louer à Richard TOLL
                                7 chambre
                                                                                    Richard Toll,
                                                                                Saint-Louis
                                    
                                        11. nov. '24, 11:41
                                    
                    20 000 F Cfa
                        
                        776455137","https://www.expat-dakar.com/annonce/chambres-meublees-climatisees-a-louer-a-richard-toll-6125774","Chambres
        
                            7","7","","","Richard Toll
            
                Saint-Louis","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c736300f3696a42dad1a0a956f290f61/-/horizon-files-prod/ed/picture/q8v45pxp/48cffaa76be430d2677e29b3176d3f10449dd574.jpg"
"1738156866-118","https://www.expat-dakar.com/appartements-meubles?page=68","Chambre meublée Ngor-Almadies
                                1 chambre40 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        11. nov. '24, 12:05
                                    
                    15 000 F Cfa
                        
                        784574920","https://www.expat-dakar.com/annonce/chambre-meublee-ngor-almadies-6201684","Chambres
        
                            1
                    
            Salle de Bain
        
                            1
                    
            Mètres carrés
        
                            40 m²","1","1","40 m²","Almadies
            
                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c27f7b625756ba122a106cd91b4d17b/-/horizon-files-prod/ed/picture/qde74n2g/2386a8fcb790f7b5c10d5e15b00cfb0db60a79b0.jpg"
"1738156868-119","https://www.expat-dakar.com/appartements-meubles?page=68","Appartement Meublé 3 Chambres Mermoz
                                3 chambre150 m²
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        11. nov. '24, 19:35
                                    
                    40 000 F Cfa
                        
                        765124792","https://www.expat-dakar.com/annonce/appartement-meuble-3-chambres-mermoz-6140216","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            150 m²","3","3","150 m²","Mermoz
            
                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ed2cc9feaa65e603446f8d40decd97a7/-/horizon-files-prod/ed/picture/qpdmmrj4/d55b901388ee29e663d0297d3b41278ad2acee8f.jpg"
"1738156871-120","https://www.expat-dakar.com/appartements-meubles?page=68","Appartement meublé à louer au virage
                                3 chambre180 m²
                                                                                    Virage,
                                                                                Dakar
                                    
                                        11. nov. '24, 21:41
                                    
                                            Vendeur vérifié
                                        
                    1 700 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-au-virage-6208661","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            180 m²","3","3","180 m²","Virage
            
                Dakar","1 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a06cfb13ffc94bff20f260a9e9b261f4/-/horizon-files-prod/ed/picture/q2j0dj6e/15432806eea63273f5231de3bff795c796279de3.jpg"
"1738156873-121","https://www.expat-dakar.com/appartements-meubles?page=68","Appartement meublé haut standing
                                90 m²
                                                                                    Sicap Sacré-cœur,
                                                                                Dakar
                                    
                                        13. nov. '24, 10:15
                                    
                    35 000 F Cfa","https://www.expat-dakar.com/annonce/appartement-meuble-haut-standing-6208581","Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            90 m²","","2","90 m²","Sicap Sacré-cœur
            
                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/31476849a6edbc7ddfa828096f98118e/-/horizon-files-prod/ed/picture/qj4qw496/bae46842dfad4567c550ceff10b3a1b32e9a59e3.jpg"
"1738156876-122","https://www.expat-dakar.com/appartements-meubles?page=68","Appartement f4 Meublè à fann
                                3 chambre300 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        12. nov. '24, 08:05
                                    
                                            Vendeur vérifié
                                        
                    2 500 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/appartement-f4-meuble-a-fann-5795583","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            300 m²","3","3","300 m²","Fann
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/804f96b59606f8c92e19bcbb56e1b4fe/-/horizon-files-prod/ed/picture/q2jrx782/24794c353dfd2500a9ceded8a8354bb3e580a321.jpg"
"1738156878-123","https://www.expat-dakar.com/appartements-meubles?page=68","2 chambres salon liberté 6 extension
                                2 chambre
                                                                                    Liberte 6 extension,
                                                                                Dakar
                                    
                                        12. nov. '24, 11:06
                                    
                    45 000 F Cfa
                        
                        765630430","https://www.expat-dakar.com/annonce/2-chambres-salon-liberte-6-extension-5757759","Chambres
        
                            2","2","","","Liberte 6 extension
            
                Dakar","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/262a96ff8600b704e03947d7bc028f18/-/horizon-files-prod/ed/picture/qj4j70q5/2a9c0d05193c9a015da05600a2b6a1ed3bfab830.jpg"
"1738156880-124","https://www.expat-dakar.com/appartements-meubles?page=68","Magnifique F3 haut standing entièrement meublé
                                2 chambre90 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        13. nov. '24, 07:37
                                    
                    60 000 F Cfa
                        
                        784729595","https://www.expat-dakar.com/annonce/magnifique-f3-haut-standing-entierement-meuble-6209514","Chambres
        
                            2
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            90 m²","2","3","90 m²","Point-e
            
                Dakar","60 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e071e52dc416049c37e304b323d2caa0/-/horizon-files-prod/ed/picture/qkr8qgvn/9a2674e2c485f2e0a1cd9c1d8b9ecd15831ed0ff.jpg"
"1738156883-125","https://www.expat-dakar.com/appartements-meubles?page=68","Appartement meublé à louer à Fann
                                3 chambre280 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        13. nov. '24, 10:13
                                    
                                            Vendeur vérifié
                                        
                    2 500 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-a-fann-6209881","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            280 m²","3","3","280 m²","Almadies
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/efb9bf06fc2afdf5fdc10c4e9ca57f61/-/horizon-files-prod/ed/picture/qj4qwq55/801a7d3ad88b5e6e514c63fbc15e37dea07aa9a6.jpg"
"1738156885-126","https://www.expat-dakar.com/appartements-meubles?page=68","Appartement meublé 3 chambres salon
                                3 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        13. nov. '24, 12:52
                                    
                    40 000 F Cfa
                        
                        771579168","https://www.expat-dakar.com/annonce/appartement-meuble-3-chambres-salon-6089151","Chambres
        
                            3
                    
            Salle de Bain
        
                            3","3","3","","Almadies
            
                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/806483db5d21dcd28a44f89f90f03252/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qq47p0jk/7caf2395dde991e8ff5a91f50136b573cb86bc49.jpg"
"1738156890-127","https://www.expat-dakar.com/appartements-meubles?page=67","MINI STUDIO F1 Sidy
                                1 chambre35 m²
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        13. nov. '24, 13:40
                                    
                    23 000 F Cfa
                        
                        779005499","https://www.expat-dakar.com/annonce/mini-studio-f1-sidy-3087404","Chambres
        
                            1
                    
            Salle de Bain
        
                            1
                    
            Mètres carrés
        
                            35 m²","1","1","35 m²","Mermoz
            
                Dakar","23 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ed0825cce3ad25c6f400bc40af13afeb/-/horizon-files-prod/ed/picture/q929pp6/ca39d91111e52ea19d7945a84ec7a597a5a006f2.jpg"
"1738156893-128","https://www.expat-dakar.com/appartements-meubles?page=67","Bel appartement meublé
                                2 chambre175 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        13. nov. '24, 14:36
                                    
                    1 200 000 F Cfa
                        
                        775440981","https://www.expat-dakar.com/annonce/bel-appartement-meuble-6157943","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            175 m²","2","2","175 m²","Point-e
            
                Dakar","1 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/47dc99c1057cbc7320c98bf393584931/-/horizon-files-prod/ed/picture/qzvpzr26/a418edfde20de6029444ab1ae477a18ee6a49e24.jpg"
"1738156895-129","https://www.expat-dakar.com/appartements-meubles?page=67","Bel appartement T2
                                1 chambre60 m²
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        13. nov. '24, 15:21
                                    
                    650 000 F Cfa
                        
                        775440981","https://www.expat-dakar.com/annonce/bel-appartement-t2-5950322","Chambres
        
                            1
                    
            Salle de Bain
        
                            1
                    
            Mètres carrés
        
                            60 m²","1","1","60 m²","Sacré-cœur
            
                Dakar","650 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bc4afd57bf71f4e33c87bd13f591b4be/-/horizon-files-prod/ed/picture/q6xkvpxd/c6042ea53f42a4c843a88a11400bc7313984b27b.jpg"
"1738156898-130","https://www.expat-dakar.com/appartements-meubles?page=67","Luxueux studio meublé
                                1 chambre100 m²
                                                                                    Cité avion,
                                                                                Dakar
                                    
                                        dimanche, 16:06
                                    
                    25 000 F Cfa
                        
                        773715603","https://www.expat-dakar.com/annonce/luxueux-studio-meuble-6083294","Chambres
        
                            1
                    
            Salle de Bain
        
                            1
                    
            Mètres carrés
        
                            100 m²","1","1","100 m²","Cité avion
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f9c9e27a96bb29aeb4d4017394c78b97/-/horizon-files-prod/ed/picture/qwe2qg7k/100981dcf8e86a71966b888d4d4c9ddd4c84dfda.jpg"
"1738156900-131","https://www.expat-dakar.com/appartements-meubles?page=67","Mermoz Pyrotechnique / appartement meublé
                                
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        13. nov. '24, 22:19
                                    
                    35 000 F Cfa
                        
                        775343424
                    
                        778895277","https://www.expat-dakar.com/annonce/mermoz-pyrotechnique-appartement-meuble-6178046","Salle de Bain
        
                            2","","2","","Mermoz
            
                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d3e0415c93314cd3e5b1829ba41214f6/-/horizon-files-prod/ed/picture/qv4wkw5g/148c09c0b7f8db4781635912f7892636375e3155.jpg"
"1738156902-132","https://www.expat-dakar.com/appartements-meubles?page=67","Studio une chambre salon meuble  équipe
                                1 chambre62 m²
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        14. nov. '24, 05:55
                                    
                    20 000 F Cfa
                        
                        772829494
                    
                        776455245","https://www.expat-dakar.com/annonce/studio-une-chambre-salon-meuble-equipe-6168896","Chambres
        
                            1
                    
            Mètres carrés
        
                            62 m²","1","","62 m²","Hann maristes
            
                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/624f3fe08745393ba5c79c3d5aad6efb/-/horizon-files-prod/ed/picture/q8v4kkr9/72481aab9a705f76184e84ac269417f170b0afdf.jpg"
"1738156905-133","https://www.expat-dakar.com/appartements-meubles?page=67","Appartement 2 pièces  salon espace familial
                                2 chambre80 m²
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        14. nov. '24, 05:56
                                    
                    30 000 F Cfa
                        
                        772829494
                    
                        776455245","https://www.expat-dakar.com/annonce/appartement-2-pieces-salon-espace-familial-6168877","Chambres
        
                            2
                    
            Mètres carrés
        
                            80 m²","2","","80 m²","Hann maristes
            
                Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1edd490fefabe3b290a4a78428ec8861/-/horizon-files-prod/ed/picture/qxjpwwnz/f2f8472632ec61389dce9fae94514460e7975295.jpg"
"1738156907-134","https://www.expat-dakar.com/appartements-meubles?page=67","Appartement F4 meublé aux Almadies
                                3 chambre150 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        14. nov. '24, 12:20
                                    
                    90 000 F Cfa
                        
                        707179327
                    
                        775171724","https://www.expat-dakar.com/annonce/appartement-f4-meuble-aux-almadies-5671974","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            150 m²","3","4","150 m²","Almadies
            
                Dakar","90 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fec38296f0478d620e1d589b56000a52/-/horizon-files-prod/ed/picture/q8vz4rq0/c23322f569f8fd3e341752fe743df8526d76ce89.jpg"
"1738156910-135","https://www.expat-dakar.com/appartements-meubles?page=67","Bel appartement meublé
                                3 chambre130 m²
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        14. nov. '24, 12:27
                                    
                    1 200 000 F Cfa
                        
                        775440981","https://www.expat-dakar.com/annonce/bel-appartement-meuble-6211047","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            130 m²","3","3","130 m²","Mermoz
            
                Dakar","1 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/00e1e1ea3e819fe351cf8efbed008c09/-/horizon-files-prod/ed/picture/q0g7zn48/aa153dc451f3077e6c72ee36adba615f980d8890.jpg"
"1738156912-136","https://www.expat-dakar.com/appartements-meubles?page=67","Studio meublé à ngor, non loin de Philippe moris
                                
                                                                                    Ngor,
                                                                                Dakar
                                    
                                        14. nov. '24, 16:17
                                    
                    30 000 F Cfa
                        
                        776606766","https://www.expat-dakar.com/annonce/studio-meuble-a-ngor-non-loin-de-philippe-moris-6211132","","","","","Ngor
            
                Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/07481cd88603e0048f0c98693762c627/-/horizon-files-prod/ed/picture/qrz80ng8/9685bd86ffe92c4fc357ea861bee3918fe256859.jpg"
"1738156917-137","https://www.expat-dakar.com/appartements-meubles?page=66","Studio meuble a liberté 6 extension
                                
                                                                                    Liberte 6 extension,
                                                                                Dakar
                                    
                                        14. nov. '24, 16:15
                                    
                    22 000 F Cfa
                        
                        776606766","https://www.expat-dakar.com/annonce/studio-meuble-a-liberte-6-extension-6211257","","","","","Liberte 6 extension
            
                Dakar","22 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3cc64ad5037636e1c8ba437a242b85aa/-/horizon-files-prod/ed/picture/qgqw049n/326b13efd5e80dcc165b0a892a5148704aa9129f.jpg"
"1738156920-138","https://www.expat-dakar.com/appartements-meubles?page=66","Appartement Meublé de Prestige à Mermoz
                                3 chambre
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        14. nov. '24, 16:32
                                    
                    1 800 000 F Cfa
                        
                        765694080","https://www.expat-dakar.com/annonce/appartement-meuble-de-prestige-a-mermoz-6211281","Chambres
        
                            3","3","","","Mermoz
            
                Dakar","1 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5f866a9cb71a1bfab67ed783930281d2/-/horizon-files-prod/ed/picture/qj4qw5qv/d92a31c0b3f7c80f33d52bb82eaddc306a3c8d28.jpg"
"1738156922-139","https://www.expat-dakar.com/appartements-meubles?page=66","APPARTEMENT MEUBLÉ - ALMADIES
                                2 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        14. nov. '24, 17:16
                                    
                    1 700 000 F Cfa
                        
                        769295151
                    
                        338641568","https://www.expat-dakar.com/annonce/appartement-meuble-almadies-6204435","Chambres
        
                            2
                    
            Salle de Bain
        
                            2","2","2","","Almadies
            
                Dakar","1 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/06b687999457e2bc7a65bc3dd8a06866/-/horizon-files-prod/ed/picture/qgqwzrqe/8064796b507f865a8b50abc2f16003636f90b6ee.png"
"1738156925-140","https://www.expat-dakar.com/appartements-meubles?page=66","🏠 APPARTEMENT MEUBLÉ - NGOR
                                2 chambre
                                                                                    Ngor,
                                                                                Dakar
                                    
                                        14. nov. '24, 17:17
                                    
                    1 400 000 F Cfa
                        
                        769295151
                    
                        338641568","https://www.expat-dakar.com/annonce/appartement-meuble-ngor-6204425","Chambres
        
                            2
                    
            Salle de Bain
        
                            2","2","2","","Ngor
            
                Dakar","1 400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8be13669ef5ef0403befeaf5dc3919ff/-/horizon-files-prod/ed/picture/q0g756g8/1641124e5a0cd77e837ca86ef3e31962a63d0ca1.png"
"1738156927-141","https://www.expat-dakar.com/appartements-meubles?page=66","STUDIO MEUBLÉ A LOUER SICAP FOIRE
                                1 chambre80 m²
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        14. nov. '24, 18:58
                                    
                    30 000 F Cfa
                        
                        779811919
                    
                        338252230
                    
                        704500101","https://www.expat-dakar.com/annonce/studio-meuble-a-louer-sicap-foire-6211353","Chambres
        
                            1
                    
            Salle de Bain
        
                            1
                    
            Mètres carrés
        
                            80 m²","1","1","80 m²","Sicap foire
            
                Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f40ce7521bf4037c3899778d555007cf/-/horizon-files-prod/ed/picture/q44nmr65/c91752cae9136742a0d9823e95c7db6c6f176ca8.jpg"
"1738156930-142","https://www.expat-dakar.com/appartements-meubles?page=66","Studio meublé Sud Foire
                                
                                                                                    Sud foire,
                                                                                Dakar
                                    
                                        15. nov. '24, 06:58
                                    
                    25 000 F Cfa
                        
                        780186361","https://www.expat-dakar.com/annonce/studio-meuble-sud-foire-5770172","","","","","Sud foire
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4d829ef4d0b4643ffcdb4063f9658b0c/-/horizon-files-prod/ed/picture/qwez9v45/095e5260b5af494d152ac1954db3926f38757685.jpg"
"1738156932-143","https://www.expat-dakar.com/appartements-meubles?page=66","Appartement F3 meublé à Ouakam
                                2 chambre
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        15. nov. '24, 10:18
                                    
                    65 000 F Cfa
                        
                        760185419
                    
                        767261726","https://www.expat-dakar.com/annonce/appartement-f3-meuble-a-ouakam-6211793","Chambres
        
                            2","2","","","Ouakam
            
                Dakar","65 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/882eb2c73365f3e8c81fca4a42a0385a/-/horizon-files-prod/ed/picture/qngpzj79/4e3c753f29d7d4467579fee7d12113d3d113661e.png"
"1738156935-144","https://www.expat-dakar.com/appartements-meubles?page=66","Chambres et appartements meublés ouest foire
                                3 chambre
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        15. nov. '24, 14:19
                                    
                    12 500 F Cfa
                        
                        784524804","https://www.expat-dakar.com/annonce/chambres-et-appartements-meubles-ouest-foire-6212023","Chambres
        
                            3
                    
            Salle de Bain
        
                            3","3","3","","Ouest foire
            
                Dakar","12 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9502b662523474ed34c862607aa17edb/-/horizon-files-prod/ed/picture/q78wm06q/1310d09e7100d5a6baa2a62be2502647dede5d9e.jpg"
"1738156937-145","https://www.expat-dakar.com/appartements-meubles?page=66","Chambres et appartement meublées
                                3 chambre
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        15. nov. '24, 14:20
                                    
                    12 500 F Cfa
                        
                        784524804","https://www.expat-dakar.com/annonce/chambres-et-appartement-meublees-6211988","Chambres
        
                            3
                    
            Salle de Bain
        
                            3","3","3","","Mermoz
            
                Dakar","12 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e314e4201478dea9c345bea9344f4c00/-/horizon-files-prod/ed/picture/q6xdmvw6/1d325226b62ee4ed89b8da1242f62dbce1d13202.jpg"
"1738156940-146","https://www.expat-dakar.com/appartements-meubles?page=66","Appartement F3 meublé haut standing
                                2 chambre
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        15. nov. '24, 15:52
                                    
                    80 000 F Cfa
                        
                        772127575
                    
                        338224816
                    
                        338224817","https://www.expat-dakar.com/annonce/appartement-f3-meuble-haut-standing-6194842","Chambres
        
                            2
                    
            Salle de Bain
        
                            3","2","3","","Cité keur gorgui
            
                Dakar","80 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fc9812c52a127f984f1dce04963b192c/-/horizon-files-prod/ed/picture/qenvwerk/5411173536e41f15ab6dc70fd4948897a680248c.jpg"
"1738156945-147","https://www.expat-dakar.com/appartements-meubles?page=65","Grands Studios meublés à louer à Toubab Dialaw, piscine
                                1 chambre
                                                                                    Toubab dialo,
                                                                                Dakar
                                    
                                        23. nov. '24, 16:04
                                    
                    25 000 F Cfa
                        
                        764911184","https://www.expat-dakar.com/annonce/grands-studios-meubles-a-louer-a-toubab-dialaw-piscine-6212472","Chambres
        
                            1
                    
            Salle de Bain
        
                            1","1","1","","Toubab dialo
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2b1c8c970fe9fa530d85b0c919102282/-/horizon-files-prod/ed/picture/qwep8wxz/9f1cac5cfa10b04842aab3118636b8b5ade54d09.jpg"
"1738156947-148","https://www.expat-dakar.com/appartements-meubles?page=65","Les Résidences KEUR AWA’S
                                2 chambre200 m²
                                                                                    Somone,
                                                                                Thiès
                                    
                                        17. nov. '24, 15:08
                                    
                    550 000 F Cfa
                        
                        772610715","https://www.expat-dakar.com/annonce/les-residences-keur-awas-6212446","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            200 m²","2","2","200 m²","Somone
            
                Thiès","550 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a5c0b337602fd81fe503597ec0e85170/-/horizon-files-prod/ed/picture/qv4wqz02/e88e9d9ca3ad8a9e5ac3fd215f04cd21244af6b0.jpg"
"1738156950-149","https://www.expat-dakar.com/appartements-meubles?page=65","Appartement de type F5 à louer
                                4 chambre270 m²
                                                                                    Fenêtre mermoz,
                                                                                Dakar
                                    
                                        18. nov. '24, 17:13
                                    
                    2 500 000 F Cfa
                        
                        771020964","https://www.expat-dakar.com/annonce/appartement-de-type-f5-a-louer-6184780","Chambres
        
                            4
                    
            Salle de Bain
        
                            6
                    
            Mètres carrés
        
                            270 m²","4","6","270 m²","Fenêtre mermoz
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/71e45be091f65d36b1f2757074a371cd/-/horizon-files-prod/ed/picture/qkr8xj2x/6795d6ad9aa025c22329e3da0d1414d204c3197c.jpg"
