web-scraper-order,web-scraper-start-url,liens_articles,liens_articles-href,details,nbre_chambre,nbre_salle_de_bain,adresse,prix,image_lien-src,superficie
"1738145135-51","https://www.expat-dakar.com/appartements-a-louer?page=124","APPARTEMENT NEUF  STANDING À LOUER 'GOR ALMADIES
                                3 chambre160 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        21. nov. '24, 13:20
                                    
                    750 000 F Cfa
                        
                        776576626
                    
                        772317210
                    
                        779242728","https://www.expat-dakar.com/annonce/appartement-neuf-standing-a-louer-gor-almadies-6127113","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            160 m²","3","4","Almadies
            
                Dakar","750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/250a184924e05c99097ec7fec581f16f/-/horizon-files-prod/ed/picture/qgqw9849/98591b2dd5be2b5562446fea58332bf81ad55ccb.jpg","160 m²"
"1738145137-52","https://www.expat-dakar.com/appartements-a-louer?page=124","Penthouse à louer Almadi
                                4 chambre300 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        18. déc. '24, 08:28
                                    
                                            Vendeur vérifié
                                        
                    1 500 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/penthouse-a-louer-almadi-6138873","Chambres
        
                            4
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            300 m²","4","4","Mamelles
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/177ec66ed5946b72b1895e06e879164c/-/horizon-files-prod/ed/picture/qq422vkn/5ae0fdb3ba2392f179b35f317122ba5e3bc76dfb.jpg","300 m²"
"1738145142-53","https://www.expat-dakar.com/appartements-a-louer?page=123","F3 neuf 100m2 habitation ou bureau
                                2 chambre100 m²
                                                                                    Liberte 6 extension,
                                                                                Dakar
                                    
                                        15. nov. '24, 09:51
                                    
                    650 000 F Cfa
                        
                        773012250
                    
                        763803286","https://www.expat-dakar.com/annonce/f3-neuf-100m2-habitation-ou-bureau-6139035","Chambres
        
                            2
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            100 m²","2","3","Liberte 6 extension
            
                Dakar","650 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b205374a53760c68409b816e94e88c0/-eyJvciI6OTB9/horizon-files-prod/ed/picture/qgqww02q/13a1bdb0ed5237ad3e8bfd7c53b4d5bfb68eae46.jpg","100 m²"
"1738145145-54","https://www.expat-dakar.com/appartements-a-louer?page=123","APPARTEMENT F5 SPACIEUX À LOUER AU VIRAGE
                                4 chambre300 m²
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        4. janv., 14:34
                                    
                    1 500 000 F Cfa
                        
                        778298993","https://www.expat-dakar.com/annonce/appartement-f5-spacieux-a-louer-au-virage-6126881","Chambres
        
                            4
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            300 m²","4","5","Yoff
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7de8300ee37c7503fb5653b4e243870b/-/horizon-files-prod/ed/picture/qj4qrxkd/5741d41c47633fbfb9e7bf9d3b930ff66c7d1d42.jpg","300 m²"
"1738145147-55","https://www.expat-dakar.com/appartements-a-louer?page=123","Appartement meublé corniche plateau
                                3 chambre280 m²
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        1. déc. '24, 21:32
                                    
                    3 355 800 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-meuble-corniche-plateau-6145820","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            280 m²","3","4","Plateau
            
                Dakar","3 355 800 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ba04549b39d94f9aad4b530ef2185bd1/-/horizon-files-prod/ed/picture/qenvrqg2/2a0d33afddd17299ba7bf4f84fe2906209e6de60.jpg","280 m²"
"1738145150-56","https://www.expat-dakar.com/appartements-a-louer?page=123","Penthous à louer sur corniche fan résidence
                                4 chambre600 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        6. déc. '24, 17:50
                                    
                    3 800 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/penthous-a-louer-sur-corniche-fan-residence-6146824","Chambres
        
                            4
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            600 m²","4","5","Fann
            
                Dakar","3 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2d8f44a5281cc86257fd48494017a261/-/horizon-files-prod/ed/picture/qv4wdg4p/fea89428cc603c8fad29c508b8f14fd8c23cd388.jpg","600 m²"
"1738145152-57","https://www.expat-dakar.com/appartements-a-louer?page=123","Penthouss à louer sur la route méridienne aux Almadie
                                4 chambre500 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        1. déc. '24, 18:58
                                    
                    4 350 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/penthouss-a-louer-sur-la-route-meridienne-aux-almadie-6105309","Chambres
        
                            4
                    
            Salle de Bain
        
                            7
                    
            Mètres carrés
        
                            500 m²","4","7","Almadies
            
                Dakar","4 350 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6a250ecf9646825a31be7849a901ad78/-/horizon-files-prod/ed/picture/q44n4604/c7fec1518bdab63dfb6f7ea44c434f2de94fba16.jpg","500 m²"
"1738145155-58","https://www.expat-dakar.com/appartements-a-louer?page=123","Joli Appartement avec piscine privée
                                3 chambre190 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        31. déc. '24, 20:23
                                    
                    1 500 000 F Cfa
                        
                        784577878","https://www.expat-dakar.com/annonce/joli-appartement-avec-piscine-privee-6148810","Chambres
        
                            3
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            190 m²","3","5","Almadies
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7cb565a3fff6d4f82b2af8c3bf295594/-/horizon-files-prod/ed/picture/qrz8r5vj/64f463260d955c5aef4eccf19bea86b57f4a88ea.jpg","190 m²"
"1738145157-59","https://www.expat-dakar.com/appartements-a-louer?page=123","Grand appatement de luxe au mariste
                                3 chambre250 m²
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        7. janv., 21:24
                                    
                    700 000 F Cfa
                        
                        784879963","https://www.expat-dakar.com/annonce/grand-appatement-de-luxe-au-mariste-5984137","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            250 m²","3","4","Hann maristes
            
                Dakar","700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3033a9de64d54046a028e8ac418f8088/-/horizon-files-prod/ed/picture/qj4rwvn6/0ebc68d81f7b6180eaa72d68203496ecd1beec91.jpg","250 m²"
"1738145159-60","https://www.expat-dakar.com/appartements-a-louer?page=123","PENTHOUSE F5 A FANN MERMOZ
                                4 chambre
                                                                                    Fann,
                                                                                Dakar
                                    
                                        14. déc. '24, 11:37
                                    
                    3 500 000 F Cfa
                        
                        772293834
                    
                        769023031","https://www.expat-dakar.com/annonce/penthouse-f5-a-fann-mermoz-6081196","Chambres
        
                            4
                    
            Salle de Bain
        
                            5","4","5","Fann
            
                Dakar","3 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/07878d92b08cd1b43ccf8d378c1f0d83/-/horizon-files-prod/ed/picture/q8v5qzn0/d45fef6fd6744f53ee849b36daf5ae82e1ed013b.jpg",""
"1738145162-61","https://www.expat-dakar.com/appartements-a-louer?page=123","Appartement à louer 4 chambres aux plateaux
                                4 chambre300 m²
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        jeudi, 11:23
                                    
                    2 500 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-4-chambres-aux-plateaux-6146447","Chambres
        
                            4
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            300 m²","4","5","Plateau
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/58b7d61315fdd0ff3f0bb50223d3826e/-/horizon-files-prod/ed/picture/q0g7kkkm/5be7dde8e70f2340707c164a62d224a28f7f4ea7.jpg","300 m²"
"1738145164-62","https://www.expat-dakar.com/appartements-a-louer?page=123","Appartement magnifique vue mer corniche Ouakam
                                4 chambre300 m²
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        6. déc. '24, 17:49
                                    
                    3 800 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-magnifique-vue-mer-corniche-ouakam-6092781","Chambres
        
                            4
                    
            Salle de Bain
        
                            6
                    
            Mètres carrés
        
                            300 m²","4","6","Ouakam
            
                Dakar","3 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7ce0b7f9cd41a522f47a011025241ba8/-/horizon-files-prod/ed/picture/qj4qmqxd/84084475194bf9633ac79d699ee58a2296322680.jpg","300 m²"
"1738145169-63","https://www.expat-dakar.com/appartements-a-louer?page=122","Grand appartement à louer au point E
                                3 chambre150 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        dimanche, 18:17
                                    
                    1 300 000 F Cfa
                        
                        776953266","https://www.expat-dakar.com/annonce/grand-appartement-a-louer-au-point-e-6141448","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            150 m²","3","3","Point-e
            
                Dakar","1 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b025ca469fa650b3ec1f719eafa4f46d/-/horizon-files-prod/ed/picture/q9mjjvpv/385ac51f8db39082bd66af125e019187fec7f13d.jpg","150 m²"
"1738145172-64","https://www.expat-dakar.com/appartements-a-louer?page=122","Appartement à louer à fan résidence
                                3 chambre200 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        dimanche, 13:32
                                    
                    2 200 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-a-fan-residence-6159700","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            200 m²","3","4","Fann
            
                Dakar","2 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fd1ba182c5cd8f5204f7d9f650ad0cb8/-/horizon-files-prod/ed/picture/q6xdnz8v/4b2d97a4d4379eae695d67018efa82ec8fa39d65.jpg","200 m²"
"1738145174-65","https://www.expat-dakar.com/appartements-a-louer?page=122","Apartement corniche Almadies
                                3 chambre200 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        10. nov. '24, 18:14
                                    
                    1 500 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apartement-corniche-almadies-6161302","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            200 m²","3","4","Almadies
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/551babb4480dd2a3230609c268bbb968/-/horizon-files-prod/ed/picture/qv4wg0nw/c2f271fa4ea00271357b0194a9cbd2592d24a0b5.jpg","200 m²"
"1738145177-66","https://www.expat-dakar.com/appartements-a-louer?page=122","Appartements 4 chambres salon neufs aux Almadies
                                4 chambre250 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        dimanche, 17:47
                                    
                    2 200 000 F Cfa
                        
                        774633788
                    
                        776686666
                    
                        776903030","https://www.expat-dakar.com/annonce/appartements-4-chambres-salon-neufs-aux-almadies-6122835","Chambres
        
                            4
                    
            Salle de Bain
        
                            6
                    
            Mètres carrés
        
                            250 m²","4","6","Almadies
            
                Dakar","2 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/55ff54d903638c2f1732c9149b831193/-/horizon-files-prod/ed/picture/qgqw95zr/7703c021e4ad6e99371abc9f9cf27aa422acec88.jpg","250 m²"
"1738145179-67","https://www.expat-dakar.com/appartements-a-louer?page=122","Appartements 3 chambres salon neufs aux Almadies méridien
                                3 chambre230 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        dimanche, 17:49
                                    
                    1 900 000 F Cfa
                        
                        774633788
                    
                        776686666
                    
                        776903030","https://www.expat-dakar.com/annonce/appartements-3-chambres-salon-neufs-aux-almadies-meridien-6122859","Chambres
        
                            3
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            230 m²","3","5","Almadies
            
                Dakar","1 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e4c8ecf19a241edf289799c4d70ddd54/-/horizon-files-prod/ed/picture/qj4qrmwe/95b1dc9e1356e841d9198bcfdbe640418f9526d9.jpg","230 m²"
"1738145182-68","https://www.expat-dakar.com/appartements-a-louer?page=122","APPARTEMENTS F2-  A LOUER
                                2 chambre100 m²
                                                                                    Mbao,
                                                                                Dakar
                                    
                                        29. nov. '24, 05:30
                                    
                    175 000 F Cfa
                        
                        776394626
                    
                        767832727","https://www.expat-dakar.com/annonce/appartements-f2-a-louer-6087709","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            100 m²","2","2","Mbao
            
                Dakar","175 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f79b16056d4d37e1f2b129be18f5db5/-/horizon-files-prod/ed/picture/q448e9x4/e8429db78e5b3abe4137a2260415c654b1fff605.jpg","100 m²"
"1738145184-69","https://www.expat-dakar.com/appartements-a-louer?page=122","Ref_2692_SEY Immeuble R+ neuf à louer à la liberté 6
                                2 chambre
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        31. oct. '24, 12:03
                                    
                    400 000 F Cfa
                        
                        781385959
                    
                        776313024","https://www.expat-dakar.com/annonce/ref-2692-sey-immeuble-r-neuf-a-louer-a-la-liberte-6-6167779","Chambres
        
                            2
                    
            Salle de Bain
        
                            1","2","1","Liberte 6
            
                Dakar","400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/409c3eb8ca86766a3c1222463d0c0b85/-/horizon-files-prod/ed/picture/qgqw4m4k/4a4b7635dcdf23ef1e2e1134f3c000e6f04906dd.jpg",""
"1738145186-70","https://www.expat-dakar.com/appartements-a-louer?page=122","Appartement à louer aux almadies
                                3 chambre200 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        10. janv., 10:31
                                    
                    1 500 000 F Cfa
                        
                        788290729
                    
                        788290729","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-almadies-6169244","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            200 m²","3","4","Almadies
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/53142ed9fd9f0b5616ef0a1b553a2fdd/-/horizon-files-prod/ed/picture/q6xdrvvd/c6139473eebbd8417b9ba567f631ff9867733853.jpg","200 m²"
"1738145189-71","https://www.expat-dakar.com/appartements-a-louer?page=122","Appartement à louer aux almadies
                                3 chambre280 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        10. nov. '24, 15:18
                                    
                    900 000 F Cfa
                        
                        788290729
                    
                        788290729","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-almadies-6169228","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            280 m²","3","4","Almadies
            
                Dakar","900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cdaeeeca43abfd49cf7cec833b2d76e9/-/horizon-files-prod/ed/picture/qwepnknj/5f1a11b61f4f2979f18eb498ee166eacd18e4f35.jpg","280 m²"
"1738145191-72","https://www.expat-dakar.com/appartements-a-louer?page=122","Appartement à louer aux almadies
                                3 chambre200 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        5. nov. '24, 12:14
                                    
                    800 000 F Cfa
                        
                        788290729
                    
                        788290729","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-almadies-6168954","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            200 m²","3","3","Almadies
            
                Dakar","800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c2054bf3c29e6c22bf7f2bd91a7ea884/-/horizon-files-prod/ed/picture/qrz866e2/993555c939b8329fd11fa08f5210e7b6eb43f3a0.jpg","200 m²"
"1738145194-73","https://www.expat-dakar.com/appartements-a-louer?page=122","VIP
    
                                    Studio à louer aux Almadies
                                1 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        Hier, 17:09
                                    
                    275 000 F Cfa
                        
                        772847878","https://www.expat-dakar.com/annonce/studio-a-louer-aux-almadies-6249393","Chambres
        
                            1
                    
            Salle de Bain
        
                            1","1","1","Almadies
            
                Dakar","275 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/690d655b5ec0db26cc10c861f3fa30c9/-/horizon-files-prod/ed/picture/qngp8mr0/6721fd4e2c71d7706a6ac56da8b347ff1ee3bd1c.jpg",""
"1738145198-74","https://www.expat-dakar.com/appartements-a-louer?page=121","Appartement 4 chambres à louer au almadies
                                4 chambre314 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        8. nov. '24, 15:17
                                    
                    3 000 000 F Cfa
                        
                        788290729
                    
                        788290729","https://www.expat-dakar.com/annonce/appartement-4-chambres-a-louer-au-almadies-6169921","Chambres
        
                            4
                    
            Salle de Bain
        
                            6
                    
            Mètres carrés
        
                            314 m²","4","6","Almadies
            
                Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/18967fa5f71e2266899724663a9abb3a/-/horizon-files-prod/ed/picture/qzvprx0g/0cc648cf68e5b89017bb2de410b3c19e416430c8.jpg","314 m²"
"1738145201-75","https://www.expat-dakar.com/appartements-a-louer?page=121","Appartement à louer 4 chambres aux Almadies
                                4 chambre320 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        7. janv., 23:29
                                    
                    2 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-4-chambres-aux-almadies-6145870","Chambres
        
                            4
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            320 m²","4","5","Almadies
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a5fefb5c9b03e06c4974957fa2cd5c48/-/horizon-files-prod/ed/picture/q9mjkjmv/39010d28ca4bb3b27453bbeed2e02d79a373acbd.jpg","320 m²"
"1738145203-76","https://www.expat-dakar.com/appartements-a-louer?page=121","Appartement à louer à fan résidence
                                3 chambre250 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        dimanche, 13:31
                                    
                    2 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-a-fan-residence-6170243","Chambres
        
                            3
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            250 m²","3","5","Fann
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4d47311b50a8c6299a3c6f1f8d3ed94/-/horizon-files-prod/ed/picture/qzvprexq/2025c315fb3ca7ea7383b014a665907c6f1afa56.jpg","250 m²"
"1738145206-77","https://www.expat-dakar.com/appartements-a-louer?page=121","F5 à louer au point e
                                4 chambre130 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        8. déc. '24, 15:59
                                    
                    800 000 F Cfa
                        
                        776333704
                    
                        776333704","https://www.expat-dakar.com/annonce/f5-a-louer-au-point-e-6153418","Chambres
        
                            4
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            130 m²","4","3","Point-e
            
                Dakar","800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/31c15d1a4a3bcd2651126d60fd5f0ed7/-/horizon-files-prod/ed/picture/qde79vm8/2efcfbf6b97483235d31d10af92300eef57950f8.jpg","130 m²"
"1738145208-78","https://www.expat-dakar.com/appartements-a-louer?page=121","Corniche fan résidence appartement à louer
                                3 chambre200 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        7. nov. '24, 22:12
                                    
                    2 500 000 F Cfa
                        
                        788290729
                    
                        788290729","https://www.expat-dakar.com/annonce/corniche-fan-residence-appartement-a-louer-6171175","Chambres
        
                            3
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            200 m²","3","5","Fann
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/630bf7cb944f220ac7415d2f762d00b6/-/horizon-files-prod/ed/picture/q44nrqre/e159ae53daa050feb6327c5cf1aab5b92d6994b9.jpg","200 m²"
"1738145211-79","https://www.expat-dakar.com/appartements-a-louer?page=121","Apartement corniche fan résidence
                                3 chambre250 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        dimanche, 13:31
                                    
                    2 800 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apartement-corniche-fan-residence-6091085","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            250 m²","3","4","Fann
            
                Dakar","2 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fe9cfd3b2e75e88be465529243368b93/-/horizon-files-prod/ed/picture/q56dwwe5/dc65a41bce26d4f12f27e7589b92a18263136c92.jpg","250 m²"
"1738145213-80","https://www.expat-dakar.com/appartements-a-louer?page=121","Appartement à louer aux poin E
                                3 chambre200 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        10. nov. '24, 15:19
                                    
                    1 800 000 F Cfa
                        
                        788290729
                    
                        788290729","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-poin-e-6171951","Chambres
        
                            3
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            200 m²","3","5","Point-e
            
                Dakar","1 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7835d0ccc9b77a01b2328d17e079324d/-/horizon-files-prod/ed/picture/qq42wkpz/ceb6de6460a7ad9c9445c6f61a15a55d9596ab82.jpg","200 m²"
"1738145216-81","https://www.expat-dakar.com/appartements-a-louer?page=121","Appartement à louer aux Point e
                                3 chambre200 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        dimanche, 13:29
                                    
                    1 800 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-point-e-6171960","Chambres
        
                            3
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            200 m²","3","5","Point-e
            
                Dakar","1 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b57bb55c751137ca0a5fe78044d5d116/-/horizon-files-prod/ed/picture/qpdmn5kr/00e41c982ec77224c0dc512e2ff6764d62cea80c.jpg","200 m²"
"1738145218-82","https://www.expat-dakar.com/appartements-a-louer?page=121","Appartement à louer aux mamelles
                                3 chambre200 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        dimanche, 13:29
                                    
                    750 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-mamelles-6171997","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            200 m²","3","4","Mamelles
            
                Dakar","750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f6953f2d7d3ef0588ce6396f3475b473/-/horizon-files-prod/ed/picture/q44nrw4r/4834e825f66cd3771bb55beb25c90c22dc318ffa.jpg","200 m²"
"1738145221-83","https://www.expat-dakar.com/appartements-a-louer?page=121","Apartement 4 chambres à louer aux Almadie
                                4 chambre250 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        10. nov. '24, 18:17
                                    
                    2 500 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apartement-4-chambres-a-louer-aux-almadie-6172586","Chambres
        
                            4
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            250 m²","4","5","Almadies
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6318f7f974f8d0d8baabedd922718bc1/-/horizon-files-prod/ed/picture/qenvp895/03c8828feb9fa7a0917f846f7684abde1f997375.jpg","250 m²"
"1738145226-84","https://www.expat-dakar.com/appartements-a-louer?page=120","Apartement corniches fan résidence 2 chambres
                                2 chambre190 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        31. déc. '24, 19:09
                                    
                    1 700 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apartement-corniches-fan-residence-2-chambres-6173676","Chambres
        
                            2
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            190 m²","2","3","Fann
            
                Dakar","1 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/746843adbe5b527a19fd73d08ea1a159/-/horizon-files-prod/ed/picture/qrz86e0m/792f379addcc7e1e6d7748f5f5964b36a4a585ac.jpg","190 m²"
"1738145228-85","https://www.expat-dakar.com/appartements-a-louer?page=120","Grands appartements, Bienvenue chez vous !!!
                                4 chambre171 m²
                                                                                    Nord foire,
                                                                                Dakar
                                    
                                        31. déc. '24, 20:01
                                    
                    600 000 F Cfa
                        
                        784577878","https://www.expat-dakar.com/annonce/grands-appartements-bienvenue-chez-vous-6173854","Chambres
        
                            4
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            171 m²","4","4","Nord foire
            
                Dakar","600 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cd51486a61a43a645517656880a723af/-/horizon-files-prod/ed/picture/qrz86epx/5558c7076e29a5c22870e5bc5b45e1bdb23a48ca.jpg","171 m²"
"1738145230-86","https://www.expat-dakar.com/appartements-a-louer?page=120","APPARTEMENT DE TYPE F4 À VENDRE DANS UN IMMEUBLE R+9
                                3 chambre190 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        8. nov. '24, 11:20
                                    
                    190 000 000 F Cfa
                        
                        771015775
                    
                        777439595","https://www.expat-dakar.com/annonce/appartement-de-type-f4-a-vendre-dans-un-immeuble-r9-6157875","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            190 m²","3","3","Point-e
            
                Dakar","190 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c75a2996857d6dc9141ade576dd40a1/-/horizon-files-prod/ed/picture/q44n00zp/06b03dc3fd57d061d7e66c8c73c23a13ebaf27e9.jpg","190 m²"
"1738145233-87","https://www.expat-dakar.com/appartements-a-louer?page=120","APPARTEMENTS F4 HAUT STANDING A MERMOZ
                                4 chambre275 m²
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        12. déc. '24, 20:02
                                    
                    800 000 F Cfa
                        
                        775204258
                    
                        765631158","https://www.expat-dakar.com/annonce/appartements-f4-haut-standing-a-mermoz-6111396","Chambres
        
                            4
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            275 m²","4","4","Mermoz
            
                Dakar","800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f9e7420d4af7f6b7a21e46498001b4a/-/horizon-files-prod/ed/picture/q8v4vj67/1a4902271166f408cd35b5daed1e8165521250e0.jpg","275 m²"
